date,oil_price,open,max,min,Объём,change_percent
"27.05.2003","218,25","223,00","224,00","217,75","6,62K","-1,47%"
"23.05.2003","221,50","219,75","222,75","219,75","7,84K","0,57%"
"22.05.2003","220,25","222,25","222,25","216,50","10,32K","-1,12%"
"21.05.2003","222,75","218,00","223,75","216,25","7,70K","4,09%"
"20.05.2003","214,00","212,75","218,00","212,75","8,81K","-3,49%"
"19.05.2003","221,75","221,25","223,00","217,75","3,46K","1,14%"
"16.05.2003","219,25","219,00","223,50","218,00","9,90K","-1,13%"
"15.05.2003","221,75","221,75","225,00","220,50","9,72K","1,60%"
"14.05.2003","218,25","219,25","224,00","216,50","6,96K","1,16%"
"13.05.2003","215,75","215,50","216,00","213,50","5,41K","-0,35%"
"12.05.2003","216,50","215,50","220,50","213,50","19,71K","1,05%"
"09.05.2003","214,25","211,50","215,50","208,00","20,05K","1,30%"
"08.05.2003","211,50","207,00","213,00","203,75","17,26K","2,92%"
"07.05.2003","205,50","204,50","207,25","201,75","15,73K","0,24%"
"06.05.2003","205,00","208,50","209,50","203,25","9,09K","1,61%"
"02.05.2003","201,75","208,50","212,75","201,50","13,49K","-3,00%"
"01.05.2003","208,00","207,75","210,00","207,00","7,76K","1,22%"
"30.04.2003","205,50","203,50","207,75","202,50","6,71K","1,86%"
"29.04.2003","201,75","204,00","204,00","200,50","7,79K","-2,06%"
"28.04.2003","206,00","209,00","209,00","204,75","9,40K","-2,25%"
"25.04.2003","210,75","211,50","214,00","209,25","5,99K","1,93%"
"24.04.2003","206,75","209,75","211,75","205,25","11,29K","-0,36%"
"23.04.2003","207,50","218,00","218,50","206,75","8,19K","-4,71%"
"22.04.2003","217,75","221,00","223,00","217,00","5,25K","0,00%"
"17.04.2003","217,75","219,00","220,50","217,50","4,70K","0,69%"
"16.04.2003","216,25","218,00","220,50","215,75","9,18K","0,70%"
"15.04.2003","214,75","212,50","215,50","209,75","9,99K","1,30%"
"14.04.2003","212,00","207,50","212,25","205,75","8,08K","3,16%"
"11.04.2003","205,50","209,50","209,50","204,50","9,50K","-4,64%"
"10.04.2003","215,50","215,00","221,25","213,50","17,75K","0,82%"
"09.04.2003","213,75","215,50","218,25","210,00","19,05K","0,83%"
"08.04.2003","212,00","205,00","214,00","205,00","16,69K","1,92%"
"07.04.2003","208,00","200,00","211,50","198,50","12,11K","0,24%"
"04.04.2003","207,50","212,50","212,50","206,25","8,91K","-3,38%"
"03.04.2003","214,75","208,75","215,00","207,50","10,14K","1,18%"
"02.04.2003","212,25","217,00","217,00","209,25","10,74K","-5,25%"
"01.04.2003","224,00","229,50","229,50","220,00","8,72K","-2,50%"
"31.03.2003","229,75","229,50","232,25","227,00","5,55K","-0,65%"
"28.03.2003","231,25","229,00","236,00","224,00","6,69K","2,89%"
"27.03.2003","224,75","218,00","225,50","218,00","10,02K","4,53%"
"26.03.2003","215,00","216,50","219,00","212,00","7,68K","-3,26%"
"25.03.2003","222,25","221,00","226,00","221,00","9,05K","1,95%"
"24.03.2003","218,00","214,00","221,25","214,00","9,98K","2,71%"
"21.03.2003","212,25","229,50","229,50","212,00","15,71K","-9,20%"
"20.03.2003","233,75","232,00","237,50","230,00","6,77K","-2,20%"
"19.03.2003","239,00","242,00","244,00","236,00","7,85K","-1,04%"
"18.03.2003","241,50","246,00","246,00","234,00","10,06K","-4,45%"
"17.03.2003","252,75","265,75","265,75","249,00","10,28K","-2,03%"
"14.03.2003","258,00","270,00","271,50","253,00","12,18K","-6,27%"
"13.03.2003","275,25","283,75","285,00","274,50","8,67K","-9,46%"
"12.03.2003","304,00","301,00","307,00","299,00","20,56K","-0,65%"
"11.03.2003","306,00","316,25","316,25","303,25","22,80K","-3,85%"
"10.03.2003","318,25","320,00","325,25","314,00","16,23K","1,68%"
"07.03.2003","313,00","305,00","313,25","305,00","14,40K","2,96%"
"06.03.2003","304,00","302,75","304,25","302,50","12,32K","1,00%"
"05.03.2003","301,00","304,00","307,00","298,75","22,37K","-0,41%"
"04.03.2003","302,25","296,00","303,25","295,00","22,15K","2,72%"
"03.03.2003","294,25","297,00","297,00","292,50","13,36K","-2,40%"
"28.02.2003","301,50","299,50","302,00","295,50","10,13K","1,26%"
"27.02.2003","297,75","305,00","305,00","297,25","12,87K","1,10%"
"26.02.2003","294,50","295,50","297,00","293,00","10,61K","-1,17%"
"25.02.2003","298,00","303,50","305,50","293,75","13,12K","0,59%"
"24.02.2003","296,25","289,50","297,00","289,00","12,27K","3,49%"
"21.02.2003","286,25","283,50","287,50","282,75","4,29K","0,79%"
"20.02.2003","284,00","285,00","289,50","283,75","8,90K","-1,05%"
